word,count
"public",45
"order:",31
"aap",38
"tells",33
"court",37
"http://t.co/y7pgsprqfa",1
"#police:",5
"broke",19
"masked…",2
"http://t.co/1kfk2ren5l",2
"http://t.co/zz4cbgi7ju",1
"ella",3
"baldwin",3
"(14)",3
"#leicester",3
"safe",11
"http://t.co/7cornn7cjb",2
"jerusalem",1
"(afp)",5
"masked",3
"pa...",1
"http://t.co/qnvyhihh66",1
"abeg",1
"siddon",1
"http://t.co/o6qrrz3n70",1
"breath",6
"https://t.co/6yqstwfapz",1
"vía",5
"raped",9
"told",22
"http://t.co/mxdpmvgyis",7
"http://t.co/mjtz8ygxoz",6
"dispatched",3
"save",6
"pit",14
"bull",3
"choked",3
"beaten",8
"amazing",8
"http://t.co/5qc62pdkna",3
"63",7
"y/o",8
"deputy",21
"executed,",7
"2x",7
"head.",9
"

white",7
"it.",17
"conservatives",7
"shit

http://…",7
"#fbi",3
"seriously.",1
"issue,",1
"jobs",6
"inside.",1
"pawan",2
"kalyan",2
"tsunami,",2
"time,",5
"criminals",22
"surely",2
"lose.",2
"happen",5
"agai…",2
"janatha",14
"theatre",15
"applied",14
"permission",18
"midnight(12am)",12
"tomorrow",16
"eve",16
"london",14
"artistas",4
"urbanos",4
"se",51
"cita",4
"en",14
"perú",4
"para",11
"realizar",4
"murales",4
"http://t.co/o8rqr2xcgg",4
"http://t.co/lkwzont5ag",1
"tonight",22
"friendly",1
"engaging",1
"conversations",1
"officers(who",1
"detaining",1
"me)",1
"peers",1
"backpacker",1
"unscheduled",1
"tour",3
"bus",1
"darwin:",1
"northern",1
"territory",1
"concern...",1
"http://t.co/wbn2vmywiz",1
"sec",2
"twitter",7
"http://t.co/njofzz1vct",2
"law:",1
"foreign",11
"sta...",2
"http://t.co/mwxheefisk",1
"http://t.co/5fi8yjqgfi",1
"jharkhand",1
"protector",2
"breaker",1
"part1",1
"possibly",3
"forward:-)",1
"https://t.co/fndgm2zvwv",1
"lastest",1
"http://t.co/klhqyn6gt4",1
"#auctions",2
"#lastest",1
"#security",10
"#kit",2
"#doorman",7
"#nightclub",7
"#sia",7
"#closeprotection",7
"#bouncer",7
"ph'nglui",1
"mglw'nafh",1
"ol'",2
"dick",4
"r'lyeh",1
"wgah'nagl",1
"fhtagn...",1
"45+",1
"including",6
"children,women,civilians.",1
"head,chest.",1
"#racistgov",1
"rt@abcnews:",3
"cntre",3
"lack",1
"license",2
"curb",1
"student",34
"party

read",1
"►",1
"http://t.co/6swj8gcsvt",1
"http://t.co/vawc6xnxlo",1
"白バイ隊員がcb1300pで激走！",1
"第44回全国白バイ安全運転競技大会",1
"vol.2",1
"top",14
"motorcycle",3
"2013

",1
"http://t.co/cj8vxh9uxk",1
"domestic",7
"discriminate.",3
"miranda",1
"devine",1
"lied",1
"#dv",1
"#unsuitablewomen",2
"http://t.co/…",16
"cadeau",1
"d'un",2
"petit",1
"réfugié",1
"à",30
"allemande",2
"ému",1
"web",19
"http://t.co/sauh4of4v6",1
"popular",2
"http://t.co/u8uroees2k",1
"#jacket",1
"#most",1
"offcrs",1
"climb",1
"mt",3
"whitney",1
"raise",7
"money",13
"at-risk",1
"teens",2
"#kcal9",1
"10p.",1
"#algeria",1
"acti...",1
"http://t.co/wukgwjoikr",1
"http://t.co/tlh2sil1pm",1
"don’t",2
"expect",11
"giving",6
"enforcement",34
"tool",2
"arsenal",1
"http://t.co/ehqvb3ktvx",1
"pink",2
"alt",1
"terminology",1
"""certified",1
"linguistic",1
"hygienic""",1
"https://t.co/rhl5vcvzoj",1
"crise",5
"au",6
"#burundi:",5
"1er",5
"vp",5
"salue",5
"l’action",5
"l’armée",5
"http://t.co/xsfq4yr0bp",5
"http://t.co/jglprlu…",4
"german",23
"raid",28
"islamic",8
"homes",8
"major",8
"operation",20
"prevent",7
"terror...htt…",7
"gov't",1
"sponsored",1
"terrorists",2
"job",14
"citizens",4
"biafrans",10
"nigeria",24
"radio",12
"biafra",10
"app",12
"mobile",13
"#nodemocracy",3
".@victoriapolice's",3
"cider",12
"tforce",3
"identifies",24
"30",24
"suspected",29
"abusers,",8
"victims",13
"http://t.co/0cqpxec7ob",3
"understand",6
"indifference",1
"human",6
"suffering",1
"affects",1
"everyone.

its",1
"father",3
"dm",4
"srikakulam",1
"believed",2
"socio-econ",1
"solution",1
"no…",1
"spare",3
"rounds",3
"frags.",3
"leave",5
"nothin'",3
"dinks.",3
"―",3
"willem",3
"dafoe",3
"""platoon""",3
"apple",13
"russia",12
"same-sex",12
"couple",16
"emoji",15
"inclusion",10
"http://t.co/cyggtt07s1",5
"http://t.co/zkrjvtqfzm",5
"base.
http://t.co/yhqrma1e14",1
"justice",7
"peace",5
"cars",12
"80",1
"broadway",1
"""too",2
"tongue.",2
"pda",2
"lt",12
"governor",16
"http://t.co/oytbrf8pv5",9
"http://t.co/sncesa…",8
"scottish",1
"respond",5
"accidents.",1
"singing.",1
"ready",24
"bangkok",31
"bombing",26
"ajw",7
"asahi",7
"shimbun",7
"http://t.co/rpkezab7ty",2
"#10tweets",2
"trump",1
",,,,",1
"proposes",2
"turning",2
"america",13
"facilitate",1
"ethnic",2
"cleansing",1
"http://t.co/zmcd6w1cmc",1
"mental",5
"health",5
"crisis",8
"held",15
"cells,",1
"government",41
"reveals",2
"https://t.co/0gblfwhwhq",1
"http://t.co/ilsgd…",1
"arrived",2
"her.",4
"reportedly",3
"high.",4
"citizen",4
"http://t.co/qpawpbrfpc",2
"http://t.co/mwblvxa0ph",1
"bitch",7
"brutal",4
"female",10
"mob",12
"boss",5
"turned",7
"mexican",3
"hitman",12
"lover",4
"http://t.co/wwoa2fumq7",1
"http://t.co/6j14kbg8wr",1
"http://t.co/5gee0zwmjm",1
"1000",1
"morrison",2
"st,",33
"#pp15000334822]",1
"23:15",1
"sketches",2
"atlanta",1
"little,",1
"uhmm",1
"-…",2
"http://t.co/d464jz9eut",1
"#atlanta",1
"http://t.co/8sao1do5yu",1
"escaping",2
"pretty",5
"ass",34
"tho.",2
"'blue",9
"matter'",1
"lapd",2
"hollywood",22
"rally.'",1
"load",1
"crap",2
"distrust",1
"minority",2
"reality",5
"http://t.co/ql6guhqk3y",1
"uber",9
"weeks",1
"toronto",2
"sexual",7
"assault",9
"https://t.co/nxcgebecfx",1
"hearing",2
"http://t.co/1nlskpesjq",1
"29th",1
"#hartford",1
"#newhaven",1
"dies",26
"zealand",19
"kayak",19
"trip:",12
"http://t.co/qnoooolyz6",1
"help,",9
"newspaper",8
"http://t.co/glgq1c4bsh",5
"http://t.co/gagiwejlbe",1
"again!",1
"died",16
"van.",1
"ame",2
"tamne",2
"chare",2
"baju",2
"thi",2
"gheri",2
"lidha",2
"che?????
bapu",2
"hee",2
"???????😯😯😯😯
thodu",2
"vicharya",2
"pachi

to",2
"halo",2
"garba",2
"chalu",2
"ka…",1
"alleged",10
"texas",9
"veteran",6
